dataset	relpath	url	bytes	md5	drop
karlsson2013	PRJEB1786/ERR260191/ERR260191_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_2.fastq.gz	2291529467	72ad70c2d3ac49a4210922d5a48e1ffc	1
karlsson2013	PRJEB1786/ERR260192/ERR260192_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_1.fastq.gz	1868079174	00bc6ef10e01fb70674f0a27b92b8f39	1
karlsson2013	PRJEB1786/ERR260192/ERR260192_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_2.fastq.gz	1791815973	0917e2d43d6db59d8fc8150c108adcd7	1
karlsson2013	PRJEB1786/ERR260205/ERR260205_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_1.fastq.gz	1445561051	2c53efebc0d3304cd192da2d85a0a394	1
karlsson2013	PRJEB1786/ERR260205/ERR260205_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_2.fastq.gz	1394383101	72c68df73e8d546be5f4215b7cfa52cc	1
karlsson2013	PRJEB1786/ERR260207/ERR260207_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_1.fastq.gz	1515580230	437a2e9194d968ddd6c42d43a8b410cb	1
karlsson2013	PRJEB1786/ERR260207/ERR260207_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_2.fastq.gz	1468846340	aed09282968fe299b20accdc7db07c46	1
karlsson2013	PRJEB1786/ERR260223/ERR260223_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_1.fastq.gz	554042462	7f13544b67623fc6b9d35e4316f4db8a	1
karlsson2013	PRJEB1786/ERR260223/ERR260223_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_2.fastq.gz	551067124	ad56aeb29b17d65d4573c1f6af5504bd	1
karlsson2013	PRJEB1786/ERR260225/ERR260225_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_1.fastq.gz	849110128	ac0070e8ac9473856b039fdd41081fca	1
karlsson2013	PRJEB1786/ERR260225/ERR260225_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_2.fastq.gz	854092180	3871206a2d29e84e6e013b3ae9dd1eac	1
karlsson2013	PRJEB1786/ERR260227/ERR260227_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_1.fastq.gz	994268367	8c75996259c019e7d518314846ad0097	1
karlsson2013	PRJEB1786/ERR260227/ERR260227_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_2.fastq.gz	995544557	7ad730046105ef35a2dbe53f14374384	1
karlsson2013	PRJEB1786/ERR260237/ERR260237_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260237/ERR260237_1.fastq.gz	1246630966	8c322b6fb5de38a6bfebdcc17b717f1f	1
karlsson2013	PRJEB1786/ERR260237/ERR260237_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260237/ERR260237_2.fastq.gz	1236560100	6365f62284c9fcb64f67b94f15062f8e	1
karlsson2013	PRJEB1786/ERR260240/ERR260240_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260240/ERR260240_1.fastq.gz	1146446791	b1b72ab1afad42ae8bdb55a84dd47a21	1
karlsson2013	PRJEB1786/ERR260240/ERR260240_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260240/ERR260240_2.fastq.gz	1135416472	f22446970c7f1b975bebbedd2530d792	1
karlsson2013	PRJEB1786/ERR260242/ERR260242_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260242/ERR260242_1.fastq.gz	706967318	2a47d116439f74cfae43365ef5d74200	1
karlsson2013	PRJEB1786/ERR260242/ERR260242_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260242/ERR260242_2.fastq.gz	709730337	a6d8463f5b5e1dd53c15cadb83596295	1
